model,feature,coefficient,abs_coefficient
growth_alpha,historical_internal_growth_alpha,-0.022534909773428296,0.022534909773428296
growth_alpha,historical_review_growth_3m,0.014599015832705326,0.014599015832705326
growth_alpha,menu_count,-0.01379602395204792,0.01379602395204792
growth_alpha,historical_brand_adjusted_growth,-0.011719233967013685,0.011719233967013685
growth_alpha,sido=세종특별자치시,-0.011286325237743124,0.011286325237743124
growth_alpha,order_count,-0.008550134586034526,0.008550134586034526
growth_alpha,sido=강원특별자치도,-0.00324841578327185,0.00324841578327185
growth_alpha,sold_out_menu_count,-0.0026093573979268235,0.0026093573979268235
growth_alpha,sido=대구광역시,-0.00200377289716148,0.00200377289716148
growth_alpha,avg_pickup_menu_price,-0.0008344966933198732,0.0008344966933198732
growth_alpha,avg_delivery_menu_price,-0.0005465640955083213,0.0005465640955083213
growth_alpha,hidden_menu_count,0.0004012846016519287,0.0004012846016519287
