predicted_priority_rank,platform_shop_id,year_month,shop_name,brand,category,sido,sigungu,predictive_rank_score,decision_band,explanation_index,signal_decomposition_index,action_band,risk_flag,top_positive_signal,top_negative_signal,model_probability_raw,probability_band,probability_score,growth_alpha_score,review_growth_score,operation_score,stability_score,market_fit_score,ranking_basis,score_role
28,ba_14691077,2025-09,본죽&비빔밥 대구파티마병원점,본그룹,백반·죽·국수,대구광역시,동구,0.4698795180722891,Priority Review,81.21,81.21,Immediate Review,none,growth_alpha,review_growth,0.4698795180722891,2,91.16877563872488,95.85042545008542,47.36842105263158,67.9757219441603,80.36690452424635,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
29,ba_14691112,2025-09,본죽 대구방촌점,본그룹,백반·죽·국수,대구광역시,동구,0.4698795180722891,Priority Review,81.15,81.15,Immediate Review,none,operation,market_fit,0.4698795180722891,2,89.13199562359424,78.20943769178317,53.21636842105264,96.72913366700764,79.1251275268211,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
30,ba_14690081,2025-09,본죽 신곡시장점,본그룹,백반·죽·국수,서울특별시,양천구,0.4698795180722891,Priority Review,80.99,80.99,Immediate Review,stability_risk,operation,stability,0.4698795180722891,2,92.70827646598552,90.68087477421668,65.46052631578947,97.67597442362496,36.96701104410703,60.32837989126094,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
31,ba_14687318,2025-09,본죽&비빔밥 독산정훈단지점,본그룹,백반·죽·국수,서울특별시,금천구,0.4698795180722891,Priority Review,80.97,80.97,Immediate Review,none,operation,stability,0.4698795180722891,2,93.98379218779512,80.41500179551404,70.39473684210526,95.74487429054297,49.12671571929667,64.224720928706,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
32,ba_14689890,2025-09,본죽&비빔밥 구월아시아드점,본그룹,백반·죽·국수,인천광역시,남동구,0.4698795180722891,Priority Review,80.56,80.56,Immediate Review,none,operation,review_growth,0.4698795180722891,2,92.4349145183362,89.48172968166222,26.435394736842103,95.98794564507136,74.75979173768536,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
33,ba_14690723,2025-09,본죽&비빔밥 광주첨단월계점,본그룹,백반·죽·국수,광주광역시,광산구,0.4698795180722891,Priority Review,80.51,80.51,Immediate Review,none,operation,review_growth,0.4698795180722891,2,91.74629761993744,82.08810273388698,31.941921052631585,96.98148483925816,85.33599906407036,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
34,ba_14691106,2025-09,본죽&비빔밥 대구동구청점,본그룹,백반·죽·국수,대구광역시,동구,0.4698795180722891,Priority Review,80.29,80.29,Immediate Review,none,operation,review_growth,0.4698795180722891,2,92.28599301396424,75.8336503218817,42.275052631578944,97.6274798923028,80.44257668301297,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
35,ba_14689115,2025-09,본죽&비빔밥 양주덕정점,본그룹,백반·죽·국수,경기도,양주시,0.4698795180722891,Priority Review,80.12,80.12,Immediate Review,none,operation,review_growth,0.4698795180722891,2,91.79176543124208,95.72168274278502,17.956657894736843,100.0,63.68138133434105,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
36,ba_14691965,2025-09,본죽&비빔밥 나주혁신호수공원점,본그룹,백반·죽·국수,전라남도,나주시,0.4698795180722891,Priority Review,79.21,79.21,Immediate Review,none,operation,market_fit,0.4698795180722891,2,93.59167181473867,54.77540499940502,64.91228947368421,98.5689323676621,82.36942775616475,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
37,ba_14689734,2025-09,본죽&비빔밥 송도신도시점,본그룹,백반·죽·국수,인천광역시,연수구,0.4698795180722891,Priority Review,79.2,79.2,Immediate Review,none,operation,review_growth,0.4698795180722891,2,93.34581730624024,78.07304624433836,28.79257894736842,95.16593340426478,84.21801757224387,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
38,ba_14687368,2025-09,본죽&비빔밥 장안동점,본그룹,백반·죽·국수,서울특별시,동대문구,0.4698795180722891,Priority Review,79.06,79.06,Immediate Review,none,operation,review_growth,0.4698795180722891,2,91.05671379387287,84.30894214764541,46.67589473684211,95.43415007133058,64.22169289245988,64.42091239353314,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
39,ba_14691209,2025-09,본죽&비빔밥 대구두산점,본그룹,백반·죽·국수,대구광역시,수성구,0.4698795180722891,Priority Review,78.88,78.88,Immediate Review,none,operation,market_fit,0.4698795180722891,2,93.86611719379864,63.85421567795524,59.06431578947369,98.58060697705449,64.18336348524467,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
