platform_shop_id,year_month,avg_text_sentiment,text_review_count,positive_text_rate,negative_text_rate,taste_rate,portion_rate,delivery_rate,price_rate,service_rate,reorder_rate,review_length,token_count,exclamation_count,question_count,positive_hit_count,negative_hit_count,sentiment_abs,mixed_sentiment_flag,has_reply,reply_length,reply_token_count,reply_contains_coupon,reply_coupon_flag,reply_template_score,reply_ai_like_score,growth_label_top30,category,brand
ba_14691998,2025-09,0.8571428571428571,7,1.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.5714285714285714,0.2857142857142857,53.714285714285715,12.0,0.5714285714285714,0.0,3.857142857142857,0.14285714285714285,0.8571428571428571,0.14285714285714285,1.0,234.14285714285714,51.857142857142854,0.0,0.0,0.4693877551020408,0.23809523809523808,0,백반·죽·국수,본그룹
ba_14691999,2025-08,0.9800000000000001,10,1.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,27.9,6.1,0.8,0.0,4.0,0.3,0.9800000000000001,0.1,1.0,158.8,33.8,0.3,0.3,0.32857142857142857,0.16666666666666666,1,백반·죽·국수,본그룹
ba_14691999,2025-09,0.7866666666666666,15,1.0,0.0,0.7333333333333333,0.0,0.13333333333333333,0.0,0.4666666666666667,0.0,26.266666666666666,5.933333333333334,0.8,0.0,3.466666666666667,0.0,0.7866666666666667,0.0,1.0,143.6,30.4,0.26666666666666666,0.26666666666666666,0.4095238095238095,0.12222222222222222,1,백반·죽·국수,본그룹
ba_14692012,2025-08,0.5692307692307692,13,0.7692307692307693,0.15384615384615385,0.7692307692307693,0.23076923076923078,0.3076923076923077,0.07692307692307693,0.23076923076923078,0.15384615384615385,67.6923076923077,15.461538461538462,0.23076923076923078,0.0,3.076923076923077,0.38461538461538464,0.6923076923076923,0.23076923076923078,0.3076923076923077,61.15384615384615,13.307692307692308,0.0,0.0,0.13186813186813187,0.05128205128205128,1,백반·죽·국수,본그룹
ba_14692012,2025-09,0.42000000000000004,10,0.7,0.0,0.3,0.1,0.2,0.0,0.2,0.3,46.7,9.7,0.1,0.1,2.1,0.2,0.42000000000000004,0.1,0.2,15.4,3.3,0.0,0.0,0.05714285714285714,0.03333333333333333,0,백반·죽·국수,본그룹
ba_14692012,2025-07,0.36666666666666664,6,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,65.83333333333333,14.666666666666666,1.3333333333333333,0.3333333333333333,2.0,0.3333333333333333,0.5,0.3333333333333333,0.8333333333333334,173.16666666666666,39.5,0.16666666666666666,0.16666666666666666,0.2857142857142857,0.19444444444444442,1,백반·죽·국수,본그룹
ba_14692022,2025-08,0.8444444444444444,9,0.8888888888888888,0.1111111111111111,1.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,78.22222222222223,18.11111111111111,0.2222222222222222,0.4444444444444444,4.777777777777778,0.1111111111111111,0.8888888888888888,0.0,1.0,203.77777777777777,44.333333333333336,0.0,0.0,0.3968253968253968,0.16666666666666666,1,백반·죽·국수,본그룹
ba_14692022,2025-09,1.0,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.5,3.0,1.5,0.0,4.5,0.0,1.0,0.0,1.0,208.5,45.75,0.0,0.0,0.5,0.20833333333333331,0,백반·죽·국수,본그룹
ba_14692035,2025-07,0.44999999999999996,4,0.75,0.25,1.0,0.25,0.25,0.0,0.5,0.0,45.0,8.75,0.0,0.0,2.75,0.5,0.75,0.25,0.25,55.0,12.0,0.25,0.25,0.07142857142857142,0.0,0,백반·죽·국수,본그룹
ba_14692035,2025-08,0.7142857142857143,7,0.8571428571428571,0.14285714285714285,0.8571428571428571,0.0,0.2857142857142857,0.0,0.2857142857142857,0.14285714285714285,36.714285714285715,7.571428571428571,0.0,0.0,3.5714285714285716,0.2857142857142857,0.7714285714285715,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,백반·죽·국수,본그룹
