platform_shop_id,year_month,has_reply,reply_length,reply_token_count,reply_contains_coupon,reply_coupon_flag,reply_template_score,reply_ai_like_score,growth_label_top30,category,brand
ba_14698239,2025-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,백반·죽·국수,본그룹
ba_14698239,2025-08,1.0,81.0,18.0,0.0,0.0,0.14285714285714285,0.0,0,백반·죽·국수,본그룹
ba_14698364,2025-07,1.0,178.22222222222223,37.0,0.0,0.0,0.23809523809523808,0.07407407407407407,1,백반·죽·국수,본그룹
ba_14698364,2025-08,1.0,193.7391304347826,42.04347826086956,0.2608695652173913,0.2608695652173913,0.4409937888198758,0.15217391304347827,1,백반·죽·국수,본그룹
ba_14698364,2025-09,1.0,203.75,44.1875,0.0,0.0,0.5,0.26041666666666663,1,백반·죽·국수,본그룹
ba_14699201,2025-08,1.0,132.0,31.0,0.5,0.5,0.3571428571428571,0.0,1,백반·죽·국수,본그룹
ba_14699201,2025-09,1.0,199.0,41.0,0.5,0.5,0.5714285714285714,0.25,0,백반·죽·국수,본그룹
ba_14699399,2025-07,0.3958333333333333,181.02083333333334,41.3125,0.375,0.375,0.20833333333333334,0.12152777777777778,0,치킨,굽네치킨
ba_14699399,2025-08,0.7058823529411765,21.705882352941178,4.0,0.029411764705882353,0.029411764705882353,0.0,0.0,0,치킨,굽네치킨
ba_14699399,2025-09,0.8888888888888888,98.93333333333334,21.42222222222222,0.044444444444444446,0.044444444444444446,0.14920634920634918,0.08888888888888889,0,치킨,굽네치킨
ba_14699649,2025-08,0.8571428571428571,144.85714285714286,31.142857142857142,0.14285714285714285,0.14285714285714285,0.30612244897959184,0.11904761904761904,0,치킨,굽네치킨
ba_14699649,2025-09,0.9285714285714286,149.71428571428572,32.142857142857146,0.0,0.0,0.26530612244897955,0.10714285714285714,0,치킨,굽네치킨
ba_14699649,2025-07,1.0,118.75,24.5,0.16666666666666666,0.16666666666666666,0.35714285714285715,0.125,0,치킨,굽네치킨
ba_14700021,2025-07,0.02631578947368421,3.4210526315789473,0.5263157894736842,0.0,0.0,0.0,0.0,1,치킨,굽네치킨
ba_14700021,2025-08,0.3235294117647059,73.6470588235294,17.294117647058822,0.029411764705882353,0.029411764705882353,0.050420168067226885,0.053921568627450976,0,치킨,굽네치킨
ba_14700021,2025-09,0.6428571428571429,138.75,32.32142857142857,0.03571428571428571,0.03571428571428571,0.1377551020408163,0.125,0,치킨,굽네치킨
ba_14700213,2025-08,1.0,262.5,55.5,0.0,0.0,0.5714285714285714,0.3333333333333333,0,백반·죽·국수,본그룹
ba_14700213,2025-09,1.0,182.0,38.5,0.0,0.0,0.42857142857142855,0.25,1,백반·죽·국수,본그룹
ba_14700905,2025-09,1.0,175.8,37.6,0.0,0.0,0.5428571428571428,0.2333333333333333,1,백반·죽·국수,본그룹
ba_14701137,2025-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,백반·죽·국수,본그룹
ba_14701137,2025-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,백반·죽·국수,본그룹
ba_14701137,2025-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,백반·죽·국수,본그룹
ba_14701165,2025-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,백반·죽·국수,본그룹
ba_14702063,2025-09,1.0,147.66666666666666,30.0,0.0,0.0,0.23809523809523805,0.0,1,백반·죽·국수,본그룹
