scenario,scenario_label,platform_shop_id,shop_name,brand,category,sido,sigungu,score,grade
official_current,현재 공식 가중치,ba_14691077,본죽&비빔밥 대구파티마병원점,본그룹,백반·죽·국수,대구광역시,동구,80.2120,A
official_current,현재 공식 가중치,ba_14689115,본죽&비빔밥 양주덕정점,본그룹,백반·죽·국수,경기도,양주시,80.1165,A
official_current,현재 공식 가중치,ba_14273972,본죽&비빔밥 단양점,본그룹,백반·죽·국수,충청북도,단양군,79.9763,B
official_current,현재 공식 가중치,ba_14691106,본죽&비빔밥 대구동구청점,본그룹,백반·죽·국수,대구광역시,동구,79.9487,B
official_current,현재 공식 가중치,ba_14690723,본죽&비빔밥 광주첨단월계점,본그룹,백반·죽·국수,광주광역시,광산구,79.8275,B
official_current,현재 공식 가중치,ba_14688114,본죽&비빔밥 신촌점,본그룹,백반·죽·국수,서울특별시,서대문구,79.8088,B
official_current,현재 공식 가중치,ba_14448826,본죽&비빔밥 인천검단신도시점,본그룹,백반·죽·국수,인천광역시,서구,79.8041,B
official_current,현재 공식 가중치,ba_14647668,본죽&비빔밥 인천간석홈플러스앞점,본그룹,백반·죽·국수,인천광역시,남동구,79.3466,B
official_current,현재 공식 가중치,ba_14691857,본죽&비빔밥 부산명지국제중앙점,본그룹,백반·죽·국수,부산광역시,강서구,79.3543,B
official_current,현재 공식 가중치,ba_14689890,본죽&비빔밥 구월아시아드점,본그룹,백반·죽·국수,인천광역시,남동구,79.2563,B
official_current,현재 공식 가중치,ba_14732026,굽네치킨 부산전포점,굽네치킨,치킨,부산광역시,부산진구,79.2548,B
official_current,현재 공식 가중치,ba_14691965,본죽&비빔밥 나주혁신호수공원점,본그룹,백반·죽·국수,전라남도,나주시,79.2299,B
official_current,현재 공식 가중치,ba_13199394,본죽&비빔밥 울산야음점,본그룹,백반·죽·국수,울산광역시,남구,79.2254,B
official_current,현재 공식 가중치,ba_14691209,본죽&비빔밥 대구두산점,본그룹,백반·죽·국수,대구광역시,수성구,79.1985,B
official_current,현재 공식 가중치,ba_14689734,본죽&비빔밥 송도신도시점,본그룹,백반·죽·국수,인천광역시,연수구,79.1185,B
official_current,현재 공식 가중치,ba_14687166,본죽&비빔밥 등촌공항대로점,본그룹,백반·죽·국수,서울특별시,강서구,78.9851,B
official_current,현재 공식 가중치,ba_14689614,본죽&비빔밥 시흥시화점,본그룹,백반·죽·국수,경기도,시흥시,78.8422,B
official_current,현재 공식 가중치,ba_14739745,굽네치킨 감정점,굽네치킨,치킨,경기도,김포시,78.7719,B
official_current,현재 공식 가중치,ba_14690992,본죽&비빔밥 대전신탄점,본그룹,백반·죽·국수,대전광역시,대덕구,78.6819,B
official_current,현재 공식 가중치,ba_13223520,본죽 신림고시촌점,본그룹,백반·죽·국수,서울특별시,관악구,78.5877,B
official_current,현재 공식 가중치,ba_14714062,본죽&비빔밥 파주운정산내마을점,본그룹,백반·죽·국수,경기도,파주시,78.5261,B
official_current,현재 공식 가중치,ba_14692326,본죽&비빔밥 제천청전점,본그룹,백반·죽·국수,충청북도,제천시,78.4780,B
official_current,현재 공식 가중치,ba_14753110,본죽&비빔밥 청주성화점,본그룹,백반·죽·국수,충청북도,청주시,78.4680,B
official_current,현재 공식 가중치,ba_14692505,본죽&비빔밥 울산남목점,본그룹,백반·죽·국수,울산광역시,동구,78.4745,B
official_current,현재 공식 가중치,ba_14691361,본죽&비빔밥 경산옥곡점,본그룹,백반·죽·국수,경상북도,경산시,78.4496,B
official_current,현재 공식 가중치,ba_14691245,본죽&비빔밥 대구동성로점,본그룹,백반·죽·국수,대구광역시,중구,78.3729,B
official_current,현재 공식 가중치,ba_14691277,본죽&비빔밥 대구달서구청점,본그룹,백반·죽·국수,대구광역시,달서구,78.2828,B
official_current,현재 공식 가중치,ba_14691130,본죽 부산진역점,본그룹,백반·죽·국수,부산광역시,동구,78.2465,B
official_current,현재 공식 가중치,ba_14692482,본죽&비빔밥 충주호암점,본그룹,백반·죽·국수,충청북도,충주시,78.2417,B
official_current,현재 공식 가중치,ba_14689750,본죽&비빔밥 안산본오점,본그룹,백반·죽·국수,경기도,안산시,78.1968,B
